Site;Transect;Plant_species;Date;Management_type;Location;Insect_order;Insect_species;Insect_species_dec;Collected;Num_Individuals;ID;Cover
2;1;Campanula latifolia;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 14;Muscidae sp. 14;yes;1;1;0.5
2;1;Campanula rotundifolia;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Melitta haemorrhoidalis;M. haemorrhoidalis;yes;1;23;0.5
2;1;Campanula rotundifolia;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Melitta haemorrhoidalis;M. haemorrhoidalis;yes;1;22;0.5
2;1;Galium album;04.07.2018;alvar pasture;Laelatu field station;Lepidoptera;Coenonympha glycerion;C. glycerion;no;1;;2
2;1;Galium verum;04.07.2018;alvar pasture;Laelatu field station;Lepidoptera;Thymelicus sylvestris;T. sylvestris;no;1;;2
2;2;Galium verum;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 18;Muscidae sp. 18;yes;1;3;3
2;2;Knautia arvensis;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Bombus ruderarius;B. ruderarius;no;1;;0.5
2;2;Medicago lupulina;04.07.2018;alvar pasture;Laelatu field station;Lepidoptera;Sphaerophoria scripta;S. scripta;no;1;;0.5
2;3;Galium verum;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Epeoloides coecutiens;E. coecutiens;yes;1;24;2
2;3;Galium verum;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Halictus tumulorum;H. tumulorum;yes;1;25;2
2;3;Galium verum;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 14;Muscidae sp. 14;yes;1;4;2
2;3;Medicago sativa;04.07.2018;alvar pasture;Laelatu field station;Lepidoptera;Thymelicus sylvestris;T. sylvestris;no;1;;1
2;4;Centaurea scabiosa;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Bombus lapidarius;B. lapidarius;no;2;;0.5
2;4;Centaurea scabiosa;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 7;Muscidae sp. 7;yes;1;14;0.5
2;4;Galium album;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 11;Muscidae sp. 11;yes;1;13;10
2;4;Galium album;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 14;Muscidae sp. 14;yes;1;11;10
2;4;Galium album;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 29;Muscidae sp. 29;yes;1;12;10
2;4;Medicago sativa;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Bombus lapidarius;B. lapidarius;no;1;;1
2;4;Trifolium pratense;04.07.2018;alvar pasture;Laelatu field station;Lepidoptera;Autographa gamma;A. gamma;no;1;;1
2;5;Campanula latifolia;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Melitta haemorrhoidalis;M. haemorrhoidalis;yes;1;26;0.5
2;5;Centaurea scabiosa;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Bombus lapidarius;B. lapidarius;no;1;;0.5
2;5;Galium album;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 31;Muscidae sp. 31;yes;1;15;10
2;5;Galium album;04.07.2018;alvar pasture;Laelatu field station;Diptera;Muscidae sp. 32;Muscidae sp. 32;yes;1;21;10
2;5;Medicago sativa;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Apis mellifera;A. mellifera;no;2;;2
2;5;Medicago sativa;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Bombus lapidarius;B. lapidarius;no;1;;2
2;5;Trifolium pratense;04.07.2018;alvar pasture;Laelatu field station;Hymenoptera;Bombus lapidarius;B. lapidarius;no;1;;1
